SELECT mean("cpu_total") AS "mean_cpu_total" FROM "kvmtop"."autogen"."kvmtop.domains" WHERE time >= 1558960702s AND time <= 1558960772s GROUP BY time(1s), "UUID" FILL(null)
name,tags,time,mean_cpu_total
kvmtop.domains,UUID=a4e6b464-256c-419b-9dc3-afe5cad263e6,1558960702000000000,21
kvmtop.domains,UUID=a4e6b464-256c-419b-9dc3-afe5cad263e6,1558960703000000000,71
kvmtop.domains,UUID=a4e6b464-256c-419b-9dc3-afe5cad263e6,1558960704000000000,68
kvmtop.domains,UUID=a4e6b464-256c-419b-9dc3-afe5cad263e6,1558960705000000000,69
kvmtop.domains,UUID=a4e6b464-256c-419b-9dc3-afe5cad263e6,1558960706000000000,67
kvmtop.domains,UUID=a4e6b464-256c-419b-9dc3-afe5cad263e6,1558960707000000000,68
kvmtop.domains,UUID=a4e6b464-256c-419b-9dc3-afe5cad263e6,1558960708000000000,63
kvmtop.domains,UUID=a4e6b464-256c-419b-9dc3-afe5cad263e6,1558960709000000000,17
kvmtop.domains,UUID=a4e6b464-256c-419b-9dc3-afe5cad263e6,1558960710000000000,18
kvmtop.domains,UUID=a4e6b464-256c-419b-9dc3-afe5cad263e6,1558960711000000000,17
kvmtop.domains,UUID=a4e6b464-256c-419b-9dc3-afe5cad263e6,1558960712000000000,17
kvmtop.domains,UUID=a4e6b464-256c-419b-9dc3-afe5cad263e6,1558960713000000000,19
kvmtop.domains,UUID=a4e6b464-256c-419b-9dc3-afe5cad263e6,1558960714000000000,21
kvmtop.domains,UUID=a4e6b464-256c-419b-9dc3-afe5cad263e6,1558960715000000000,36
kvmtop.domains,UUID=a4e6b464-256c-419b-9dc3-afe5cad263e6,1558960716000000000,37
kvmtop.domains,UUID=a4e6b464-256c-419b-9dc3-afe5cad263e6,1558960717000000000,39
kvmtop.domains,UUID=a4e6b464-256c-419b-9dc3-afe5cad263e6,1558960718000000000,38
kvmtop.domains,UUID=a4e6b464-256c-419b-9dc3-afe5cad263e6,1558960719000000000,38
kvmtop.domains,UUID=a4e6b464-256c-419b-9dc3-afe5cad263e6,1558960720000000000,36
kvmtop.domains,UUID=a4e6b464-256c-419b-9dc3-afe5cad263e6,1558960721000000000,46
kvmtop.domains,UUID=a4e6b464-256c-419b-9dc3-afe5cad263e6,1558960722000000000,43
kvmtop.domains,UUID=a4e6b464-256c-419b-9dc3-afe5cad263e6,1558960723000000000,44
kvmtop.domains,UUID=a4e6b464-256c-419b-9dc3-afe5cad263e6,1558960724000000000,45
kvmtop.domains,UUID=a4e6b464-256c-419b-9dc3-afe5cad263e6,1558960725000000000,46
kvmtop.domains,UUID=a4e6b464-256c-419b-9dc3-afe5cad263e6,1558960726000000000,41
kvmtop.domains,UUID=a4e6b464-256c-419b-9dc3-afe5cad263e6,1558960727000000000,44
kvmtop.domains,UUID=a4e6b464-256c-419b-9dc3-afe5cad263e6,1558960728000000000,44
kvmtop.domains,UUID=a4e6b464-256c-419b-9dc3-afe5cad263e6,1558960729000000000,43
kvmtop.domains,UUID=a4e6b464-256c-419b-9dc3-afe5cad263e6,1558960730000000000,44
kvmtop.domains,UUID=a4e6b464-256c-419b-9dc3-afe5cad263e6,1558960731000000000,45
kvmtop.domains,UUID=a4e6b464-256c-419b-9dc3-afe5cad263e6,1558960732000000000,43
kvmtop.domains,UUID=a4e6b464-256c-419b-9dc3-afe5cad263e6,1558960733000000000,53
kvmtop.domains,UUID=a4e6b464-256c-419b-9dc3-afe5cad263e6,1558960734000000000,54
kvmtop.domains,UUID=a4e6b464-256c-419b-9dc3-afe5cad263e6,1558960735000000000,54
kvmtop.domains,UUID=a4e6b464-256c-419b-9dc3-afe5cad263e6,1558960736000000000,54
kvmtop.domains,UUID=a4e6b464-256c-419b-9dc3-afe5cad263e6,1558960737000000000,56
kvmtop.domains,UUID=a4e6b464-256c-419b-9dc3-afe5cad263e6,1558960738000000000,54
kvmtop.domains,UUID=a4e6b464-256c-419b-9dc3-afe5cad263e6,1558960739000000000,58
kvmtop.domains,UUID=a4e6b464-256c-419b-9dc3-afe5cad263e6,1558960740000000000,60
kvmtop.domains,UUID=a4e6b464-256c-419b-9dc3-afe5cad263e6,1558960741000000000,62
kvmtop.domains,UUID=a4e6b464-256c-419b-9dc3-afe5cad263e6,1558960742000000000,61
kvmtop.domains,UUID=a4e6b464-256c-419b-9dc3-afe5cad263e6,1558960743000000000,62
kvmtop.domains,UUID=a4e6b464-256c-419b-9dc3-afe5cad263e6,1558960744000000000,59
kvmtop.domains,UUID=a4e6b464-256c-419b-9dc3-afe5cad263e6,1558960745000000000,69
kvmtop.domains,UUID=a4e6b464-256c-419b-9dc3-afe5cad263e6,1558960746000000000,74
kvmtop.domains,UUID=a4e6b464-256c-419b-9dc3-afe5cad263e6,1558960747000000000,73
kvmtop.domains,UUID=a4e6b464-256c-419b-9dc3-afe5cad263e6,1558960748000000000,74
kvmtop.domains,UUID=a4e6b464-256c-419b-9dc3-afe5cad263e6,1558960749000000000,71
kvmtop.domains,UUID=a4e6b464-256c-419b-9dc3-afe5cad263e6,1558960750000000000,70
kvmtop.domains,UUID=a4e6b464-256c-419b-9dc3-afe5cad263e6,1558960751000000000,17
kvmtop.domains,UUID=a4e6b464-256c-419b-9dc3-afe5cad263e6,1558960752000000000,11
kvmtop.domains,UUID=a4e6b464-256c-419b-9dc3-afe5cad263e6,1558960753000000000,11
kvmtop.domains,UUID=a4e6b464-256c-419b-9dc3-afe5cad263e6,1558960754000000000,11
kvmtop.domains,UUID=a4e6b464-256c-419b-9dc3-afe5cad263e6,1558960755000000000,11
kvmtop.domains,UUID=a4e6b464-256c-419b-9dc3-afe5cad263e6,1558960756000000000,11
kvmtop.domains,UUID=a4e6b464-256c-419b-9dc3-afe5cad263e6,1558960757000000000,36
kvmtop.domains,UUID=a4e6b464-256c-419b-9dc3-afe5cad263e6,1558960758000000000,40
kvmtop.domains,UUID=a4e6b464-256c-419b-9dc3-afe5cad263e6,1558960759000000000,40
kvmtop.domains,UUID=a4e6b464-256c-419b-9dc3-afe5cad263e6,1558960760000000000,42
kvmtop.domains,UUID=a4e6b464-256c-419b-9dc3-afe5cad263e6,1558960761000000000,43
kvmtop.domains,UUID=a4e6b464-256c-419b-9dc3-afe5cad263e6,1558960762000000000,41
kvmtop.domains,UUID=a4e6b464-256c-419b-9dc3-afe5cad263e6,1558960763000000000,15
kvmtop.domains,UUID=a4e6b464-256c-419b-9dc3-afe5cad263e6,1558960764000000000,1
kvmtop.domains,UUID=a4e6b464-256c-419b-9dc3-afe5cad263e6,1558960765000000000,2
kvmtop.domains,UUID=a4e6b464-256c-419b-9dc3-afe5cad263e6,1558960766000000000,1
kvmtop.domains,UUID=a4e6b464-256c-419b-9dc3-afe5cad263e6,1558960767000000000,1
kvmtop.domains,UUID=a4e6b464-256c-419b-9dc3-afe5cad263e6,1558960768000000000,2
kvmtop.domains,UUID=a4e6b464-256c-419b-9dc3-afe5cad263e6,1558960769000000000,1
kvmtop.domains,UUID=a4e6b464-256c-419b-9dc3-afe5cad263e6,1558960770000000000,1
kvmtop.domains,UUID=a4e6b464-256c-419b-9dc3-afe5cad263e6,1558960771000000000,1
kvmtop.domains,UUID=a4e6b464-256c-419b-9dc3-afe5cad263e6,1558960772000000000,
